Address       True          Mine
100750 3f0f2f46d6207260bb891beea45e80e5,    3f0f2f462072601b005e0000
100760 3e43602544282ee1338cf218e2def1e7,    3e43602544282e00330000180
100770 3f0f2f46d6207260bb891beea45e80e5,    3f0f2f462072601b005e0000
100780 f20734a167105e3238b6b397d586604f,    7340067105e3238000000604f
100790 5579170075320e4250725322503c47fe,    5579170075320e4250725322503c4700
1007a0 f20734a167105e3238b6b397d586604f,    7340067105e3238000000604f
1007b0 5579170075320e4250725322503c47fe,    5579170075320e4250725322503c4700
1007c0 eff749f822120a82902f53edef2435f7,    490022120a002f5300243500
1007d0 2f99484256bc63ac13d737ee31f7d3d6,    2f004842560063001300370031000000
1007e0 eff749f822120a82902f53edef2435f7,    490022120a002f5300243500
1007f0 2f99484256bc63ac13d737ee31f7d3d6,    2f004842560063001300370031000000
100800 e1641814363b1e3b1fe8a072bfb3651,    641814363b1e3b10000072b003651
100810 488baab73a0edaeaa814071755a3e668,    480000003a0e000014071755000068
100820 e1641814363b1e3b1fe8a072bfb3651,    641814363b1e3b10000072b003651
100830 488baab73a0edaeaa814071755a3e668,    480000003a0e000014071755000068
100840 3c153aa1cd3e4e2a8608fe6497e6d743,    3c153a003e4e2a8006443
100850 399399a786a113b62b0ac0838a71eaf9,    3900000013002b0a0000710000
100860 3c153aa1cd3e4e2a8608fe6497e6d743,    3c153a003e4e2a8006443
100870 399399a786a113b62b0ac0838a71eaf9,    3900000013002b0a0000710000
100880 92a0c47e3c8f24147185970a5d32215e,    7e3c0024147100000a5d32215e
100890 67275929cd07af9ca41c5e4e27cdf1,    672759290007001c5e4e270000
1008a0 92a0c47e3c8f24147185970a5d32215e,    7e3c0024147100000a5d32215e
1008b0 67275929cd07af9ca41c5e4e27cdf1,    672759290007001c5e4e270000
1008c0 2c1f873889991f3cb6c5ea36d518c28c,    2c1f00381f3c36180000
1008d0 8d419ea0f371951e182a636531b253e,    410000f37195136531b253e
1008e0 2c1f873889991f3cb6c5ea36d518c28c,    2c1f00381f3c36180000
1008f0 8d419ea0f371951e182a636531b253e,    410000f37195136531b253e
100900 9ab6119e1afeced16c280b61e7c3d3a,    90061190160000001e7c3d3a
100910 10c5dc3f10347ea8d3e5a1e02e20ca88,    1000003f10347e0002e200000
100920 9ab6119e1afeced16c280b61e7c3d3a,    90061190160000001e7c3d3a
